"DayOfWeek";"Date";"Time";"Number";"LineNumber";"Delay";"Station";"Direction";"Shift";"Driver";"Latitude";"Longitude";"Orientation"
ne;28.04.2019;2:33:29;402;1;"00:00:25";"Louky,Růžová";"Baťova nemocnice";"99/2";2068;49,21829;17,63514;67
ne;28.04.2019;2:33:29;410;7;"00:01:03";"Sportovní hala";"Jižní Svahy,Kocanda";"99/8";2180;49,21989;17,65908;0
ne;28.04.2019;2:33:29;820;70;"00:01:39";"Sklady";"Otrokovice, žel.st.";"99/70";2195;49,2052;17,56987;270
ne;28.04.2019;2:33:41;402;1;"00:00:31";"Podhoří,sídliště";"Baťova nemocnice";"99/2";2068;49,21837;17,63574;67
ne;28.04.2019;2:33:41;410;7;"00:01:03";"Sportovní hala";"Jižní Svahy,Kocanda";"99/8";2180;49,21989;17,65908;0
ne;28.04.2019;2:33:41;820;70;"00:01:39";"Sklady";"Otrokovice, žel.st.";"99/70";2195;49,2052;17,56987;270
ne;28.04.2019;2:33:52;402;1;"00:00:31";"Podhoří,sídliště";"Baťova nemocnice";"99/2";2068;49,21837;17,63574;67
ne;28.04.2019;2:33:52;410;7;"00:01:03";"Sportovní hala";"Jižní Svahy,Kocanda";"99/8";2180;49,21989;17,65908;0
ne;28.04.2019;2:33:52;820;70;"00:01:26";"Malenovice ZPS";"Otrokovice, žel.st.";"99/70";2195;49,20472;17,56554;247
ne;28.04.2019;2:34:04;402;1;"00:00:31";"Podhoří,sídliště";"Baťova nemocnice";"99/2";2068;49,21908;17,63853;67
ne;28.04.2019;2:34:04;410;7;"00:01:03";"Sportovní hala";"Jižní Svahy,Kocanda";"99/8";2180;49,21989;17,65908;0
ne;28.04.2019;2:34:04;820;70;"00:01:26";"Malenovice ZPS";"Otrokovice, žel.st.";"99/70";2195;49,20472;17,56554;247
ne;28.04.2019;2:34:15;402;1;"00:00:31";"Podhoří,sídliště";"Baťova nemocnice";"99/2";2068;49,21908;17,63853;67
ne;28.04.2019;2:34:15;410;7;"00:01:03";"Sportovní hala";"Jižní Svahy,Kocanda";"99/8";2180;49,21989;17,65908;0
ne;28.04.2019;2:34:15;820;70;"00:01:09";"Malenovice,obchodní zóna";"Otrokovice, žel.st.";"99/70";2195;49,20415;17,56159;247
ne;28.04.2019;2:34:26;402;1;"00:00:31";"Podhoří,sídliště";"Baťova nemocnice";"99/2";2068;49,21977;17,64122;67
ne;28.04.2019;2:34:26;410;7;"00:01:03";"Sportovní hala";"Jižní Svahy,Kocanda";"99/8";2180;49,21989;17,65908;0
ne;28.04.2019;2:34:26;820;70;"00:01:09";"Malenovice,obchodní zóna";"Otrokovice, žel.st.";"99/70";2195;49,20415;17,56159;247
ne;28.04.2019;2:34:29;402;1;"00:00:31";"Podhoří,sídliště";"Baťova nemocnice";"99/2";2068;49,21977;17,64122;67
ne;28.04.2019;2:34:29;820;70;"00:01:09";"Malenovice,obchodní zóna";"Otrokovice, žel.st.";"99/70";2195;49,20415;17,56159;247
ne;28.04.2019;2:34:29;402;1;"00:00:31";"Podhoří,sídliště";"Baťova nemocnice";"99/2";2068;49,21977;17,64122;67
ne;28.04.2019;2:34:29;410;7;"00:01:03";"Sportovní hala";"Jižní Svahy,Kocanda";"99/8";2180;49,21989;17,65908;0
ne;28.04.2019;2:34:29;820;70;"00:01:09";"Malenovice,obchodní zóna";"Otrokovice, žel.st.";"99/70";2195;49,20415;17,56159;247
