"DayOfWeek";"Date";"Time";"Number";"LineNumber";"Delay";"Station";"Direction";"Shift";"Driver";"Latitude";"Longitude";"Orientation"
po;15.04.2019;23:11:53;204;4;"00:00:31";"Na Vyhlídce";"Vršava";"2/4";1566;49.222730;17.659960;0
po;15.04.2019;23:11:53;215;2;"00:02:05";"Malenovice ZPS";"Otrokovice, žel.st.";"99/2";1243;49.205270;17.570650;270
po;15.04.2019;23:11:53;218;8;"00:01:45";"Dlouhá";"Jižní Svahy,Kocanda";"99/8";1492;49.227810;17.669270;22
po;15.04.2019;23:11:53;221;1;"00:00:45";"Sklady";"Baťova nemocnice";"2/11";2065;49.207280;17.584070;67
po;15.04.2019;23:11:53;222;11;"00:01:03";"Obeciny";"Baťova nemocnice";"3/11";1436;49.223130;17.696040;292
po;15.04.2019;23:11:53;223;8;"00:00:01";"Cigánov";"Baťova nemocnice";"1/3";1173;49.231390;17.671940;22
po;15.04.2019;23:11:53;226;14;"00:00:01";"Náměstí Práce";"Jižní Svahy,Středová";"1/11";1624;49.223310;17.661480;67
po;15.04.2019;23:11:53;453;8;"00:00:50";"Slunečná";"Baťova nemocnice";"3/6";1968;49.233010;17.658810;315
po;15.04.2019;23:11:53;457;2;"00:00:00";"Dlouhá";"Baťova nemocnice";"3/2";2180;49.230150;17.670700;22
po;15.04.2019;23:11:53;666;36;"00:00:24";"Velíková";"Sportovní hala";"2/31";2125;49.278170;17.746960;225
po;15.04.2019;23:11:53;669;2;"00:00:00";"Vozovna-výjezd (sever)";"Baťova nemocnice";"99/70";2171;49.226450;17.694190;112
po;15.04.2019;23:11:53;678;33;"00:00:02";"U Zámku";"Baťova nemocnice";"1/33";1052;49.224730;17.662470;157
po;15.04.2019;23:11:53;680;55;"00:00:10";"Otrokovice, žel.st.";"U Dřevnice";"11/55";2058;49.201950;17.532190;202
po;15.04.2019;23:11:53;682;55;"00:01:43";"Společenský dům";"U Dřevnice";"2/55";1975;49.213090;17.514260;90
